,ID,board_t,env_t,light_strength,efficiency,efficiency_A,efficiency_B,efficiency_C,V_A,V_B,V_C,I_A,I_B,I_C,P_A,P_B,P_C,P_avg,wind_speed,wind_direction,y,predicted_V_A,predicted_V_B,predicted_V_C,predicted_I_A,predicted_I_B,predicted_I_C
1623,3662,-6.33,-9.6,197,14.71,13.81,14.29,16.01,653,648,648,8.79,8.9,9.05,5739.87,5767.2,5864.4,5790.49,1.1,332,,751.8700363,735.6898179,740.4867902,1.024416273,1.127333365,1.24235107
1624,3665,-6.1,-9.2,228,14.44,13.33,14.03,15.96,656,651,649,8.61,8.84,9.02,5648.16,5754.84,5853.98,5752.33,0.5,100,,753.3317451,737.9949027,742.0054618,1.197211535,1.230210036,1.396675528
1625,3671,-6.22,-9,234,14.24,12.88,13.44,16.42,654,648,650,8.81,8.92,9,5761.74,5780.16,5850,5797.3,1,8,,753.1950383,738.809636,742.9254453,1.189996559,1.246552693,1.391231534
1633,3690,-4.96,-8.4,294,12,10.11,9.85,16.04,624,614,613,9.25,8.13,9.54,5772,4991.82,5848.02,5537.28,0.8,326,,747.945805,736.3865154,743.3610107,1.282294802,1.191355735,1.42020292
2101,4729,11.95,-6.7,251,28.04,14.86,56.63,12.64,661,653,654,8.74,8.8,8.93,5777.14,5746.4,5840.22,5787.92,1.1,261,,748.8112071,656.9640993,680.4484066,1.629809314,6.528898766,1.370805391
3754,8330,-8.97,-10.7,229,23,23,21.15,24.84,658,652,652,8.68,8.72,8.95,5711.44,5685.44,5835.4,5744.09,2.5,268,,753.8186599,757.3330415,754.9446454,1.8788764,1.688636529,2.395326747
1618,3652,-5.54,-9.4,203,14.73,13.59,15.2,15.41,652,644,645,8.82,8.91,9.04,5750.64,5738.04,5830.8,5773.16,0.8,273,,748.0885204,736.4468657,740.3200009,1.115007212,1.139321173,1.1735257
1631,3688,-5.41,-8.4,274,12.03,11.42,10.43,14.25,680,668,637,8.04,8.49,9.14,5467.2,5671.32,5822.18,5653.57,0.4,315,,752.2105721,734.4528873,742.6048988,1.178658969,1.013942305,1.593966259
2096,4714,2.7,-8.8,252,27.92,11.77,60.53,11.45,658,653,657,8.78,8.76,8.86,5777.24,5720.28,5821.02,5772.85,1.5,194,,717.0851916,655.8617737,650.5677869,1.130727001,6.693830703,1.344725937
3753,8327,-9.56,-11,203,22.32,22.39,20.32,24.24,658,651,651,8.73,8.81,8.94,5744.34,5735.31,5819.94,5766.53,2.5,265,,751.9318503,753.9878931,752.1170601,1.660399046,1.604882923,2.162602106
1622,3661,-6.29,-9.6,197,14.61,13.48,14.6,15.76,651,648,647,8.87,8.91,8.99,5774.37,5773.68,5816.53,5788.19,0.9,334,,751.2149131,736.9388505,739.8413313,0.989548244,1.098722483,1.227039968
1632,3689,-4.99,-8.4,284,11.83,11.45,9.92,14.11,660,655,657,8.62,8.76,8.85,5689.2,5737.8,5814.45,5747.15,2.3,312,,744.4869853,736.0383237,741.1773931,1.372975657,1.16749697,1.33057364
3760,8343,-5.04,-8.1,351,23.64,24.19,21.97,24.74,663,656,657,8.63,8.7,8.85,5721.69,5707.2,5814.45,5747.78,2.3,277,,749.4916044,749.3298467,753.6248717,3.149001419,3.009368946,3.275306994
4428,9722,-15.83,-18.4,211,22.28,23.13,22.03,21.69,651,645,649,8.8,8.89,8.95,5728.8,5734.05,5808.55,5757.13,0,272,,749.8297144,746.5950529,747.63224,1.761090179,1.782905948,1.751355628
2095,4713,2.72,-8.5,250,27.73,11.52,60.28,11.39,659,653,654,8.72,8.77,8.88,5746.48,5726.81,5807.52,5760.27,1.5,165,,717.5738935,655.3020846,651.0833096,1.142613188,6.674260852,1.301531482
1634,3692,-4.48,-8,235,14.05,13.56,13.71,14.89,658,655,656,8.47,8.61,8.85,5573.26,5639.55,5805.6,5672.8,0.6,275,,732.1714765,735.5142755,735.562086,1.192813838,1.370876316,1.330080677
3751,8324,-10.31,-11.6,178,21.78,21.87,19.71,23.75,660,650,654,8.68,8.77,8.86,5728.8,5700.5,5794.44,5741.25,1.2,274,,750.6468913,739.7746026,745.0542882,1.423238688,1.37309291,2.058015275
3752,8326,-9.83,-11.2,192,22.07,22.76,19.91,23.54,656,650,651,8.75,8.84,8.9,5740,5746,5793.9,5759.97,1.8,278,,750.2735454,748.2101834,747.4735948,1.575781476,1.540134602,1.704939108
1629,3682,-6.43,-8.9,178,12.68,11.6,12.5,13.93,645,642,642,8.98,8.99,9.02,5792.1,5771.58,5790.84,5784.84,0.8,276,,731.1988485,725.818279,735.3855476,0.78445569,1.043825237,0.914611389
1743,3911,-11.39,-15.1,9,374.77,197.37,685.68,241.25,631,625,628,8.97,8.87,9.21,5660.07,5543.75,5783.88,5662.57,0.7,265,,747.0503071,730.824587,739.0814807,0.653050266,1.422683349,0.895059829
4427,9721,-16.68,-18.6,204,21.16,21.88,20.81,20.78,649,645,644,8.86,8.92,8.98,5750.14,5753.4,5783.12,5762.22,0,267,,749.9776023,748.0226826,745.0214981,1.606291284,1.528872584,1.733818999
927,2086,-20.43,-20.3,54,52.96,65.11,22.34,71.43,658,654,650,8.71,8.78,8.89,5731.18,5742.12,5778.5,5750.6,0.9,276,,738.4492524,720.9757865,739.0863567,1.253153955,1.141721562,1.530850128
1626,3675,-6.25,-8.8,183,13.18,11.84,12.57,15.12,653,647,648,8.81,8.9,8.91,5752.93,5758.3,5773.68,5761.64,1.8,13,,740.595315,729.0120293,735.611384,0.858072702,1.058733688,1.032324196
2098,4722,7.1,-7.5,253,27.66,12.46,58.56,11.95,668,657,661,8.56,8.6,8.73,5718.08,5650.2,5770.53,5712.94,1.5,149,,740.3592863,659.8287504,655.9260145,1.299830298,6.687639857,1.361217834
3761,8347,-4.21,-7.5,377,24.51,24.5,23.24,25.78,643,642,644,8.87,8.72,8.95,5703.41,5598.24,5763.8,5688.48,3.3,283,,744.9184363,744.9373242,748.9159914,3.62633382,3.3773679,3.572006862
4030,8889,-10.68,-12,178,19.09,18.53,5.53,33.19,664,659,660,8.6,8.65,8.72,5710.4,5700.35,5755.2,5721.98,2.8,284,,740.7269224,711.7321939,745.4542366,1.235181621,0.939807265,2.225662625
926,2084,-21.52,-20.9,39,60.07,75.4,27.41,77.41,657,648,651,8.66,8.78,8.84,5689.62,5689.44,5754.84,5711.3,0.8,266,,740.9903028,723.1086482,737.1353698,0.888031411,1.067717717,1.247093549
1744,3912,-11.39,-15.1,7,444.93,233.9,804.04,296.84,657,651,651,8.65,8.7,8.84,5683.05,5663.7,5754.84,5700.53,0.9,359,,745.5176953,730.2542427,736.8464456,0.600947685,1.446963436,0.942662721
1638,3705,-5.75,-8.6,229,11.94,10.34,9.57,15.91,652,647,648,8.76,8.86,8.87,5711.52,5732.42,5747.76,5730.57,1,83,,732.590074,724.3023712,734.4995178,1.199112101,1.036352656,1.094458712
1745,3914,-11.79,-15.2,4,703.66,375.77,1283.84,451.38,649,644,644,8.8,8.93,8.92,5711.2,5750.92,5744.48,5735.53,1.2,345,,738.594094,731.7070614,733.5725376,0.673577744,1.166981034,0.863351224
2099,4723,7.1,-7.7,250,28.27,13.99,58.65,12.16,645,664,638,8.43,8.5,8.98,5437.35,5644,5729.24,5603.53,1.1,140,,738.6113994,656.5694922,666.8378638,1.37859179,6.654964466,1.339441022
2154,4865,-9.23,-14.5,122,75.09,77.44,78.22,69.62,665,661,666,8.51,8.62,8.59,5659.15,5697.82,5720.94,5692.64,2.4,279,,738.4587582,731.1995839,741.8003258,3.505299196,3.192648782,3.265842316
4008,8850,-7.31,-8.5,229,14.55,13.97,2.75,26.93,630,626,623,8.84,9.01,9.18,5569.2,5640.26,5719.14,5642.87,1.9,318,,744.542398,725.3678024,752.8130763,1.222271722,0.460076521,2.469839246
4429,9726,-13.04,-17.3,243,24.8,24.96,23.88,25.56,671,668,668,8.4,8.44,8.51,5636.4,5637.92,5684.68,5653,0,275,,742.2248576,743.3458434,741.1625569,2.261099832,2.135744415,2.257082195
1630,3684,-6.2,-8.7,197,11.92,10.28,11.37,14.12,657,651,654,8.61,8.63,8.69,5656.77,5618.13,5683.26,5652.72,1.8,276,,736.4666114,725.8895047,732.8745176,0.888640394,0.876035307,0.97973736
1740,3903,-10.14,-14.9,63,73.57,38.51,134.33,47.87,651,645,644,8.72,8.8,8.82,5676.72,5676,5680.08,5677.6,2.6,54,,737.071441,726.7279642,731.9059788,1.132254009,1.097457065,1.108053844
1741,3904,-10.58,-14.8,59,75.39,40.27,136.86,49.06,668,665,665,8.4,8.43,8.54,5611.2,5605.95,5679.1,5632.08,0,254,,745.5809126,730.4816963,737.6400016,1.034246757,1.154789216,1.045497822
2151,4858,-10.97,-15.3,78,81.07,83.28,98.32,61.59,649,646,645,8.11,8.24,8.8,5263.39,5323.04,5676,5420.81,1.4,280,,742.9375842,734.3572211,735.3017606,2.232150862,2.211604955,2.586155758
4031,8890,-9.95,-11.9,189,19.22,18.47,5.73,33.46,648,642,646,8.62,8.72,8.78,5585.76,5598.24,5671.88,5618.63,1.9,277,,740.7213917,703.0604982,752.8358346,1.328480476,0.754107481,2.382356744
1610,3634,-8.81,-10.4,170,14.09,13.41,14.67,14.19,625,625,621,9.01,8.96,9.13,5631.25,5600,5669.73,5633.66,1.1,334,,734.1568977,731.4571031,734.3698552,0.865588599,0.953477713,0.947075448
2094,4711,2.68,-8.4,243,28.02,11.54,61.18,11.34,633,625,629,8.79,8.85,9.01,5564.07,5531.25,5667.29,5587.54,1.3,171,,732.3388239,657.355617,657.8895534,1.122426053,6.487833324,1.264241571
2152,4859,-10.48,-15.2,79,90.06,95.48,91.02,83.67,655,648,651,8.56,8.63,8.7,5606.8,5592.24,5663.7,5620.91,1.9,276,,739.9293136,733.4060545,739.0886756,2.736555035,2.543484351,2.646046937
2155,4866,-8.45,-14.1,125,73.37,75.82,76.34,67.95,656,653,654,8.55,8.6,8.66,5608.8,5615.8,5663.64,5629.41,3.1,275,,738.4377825,723.6354954,741.2001715,3.607231376,3.402884704,3.308705972
3762,8350,-3.79,-7.2,405,24.95,24.97,23.87,26.01,656,653,653,8.45,8.45,8.67,5543.2,5517.85,5661.51,5574.19,4.1,275,,740.3265064,736.3562436,744.1912296,3.912736066,3.712190825,3.945984201
3977,8787,-3.81,-7.9,473,8.01,6.72,2.44,14.86,650,648,650,8.25,8.44,8.71,5362.5,5469.12,5661.5,5497.71,0,358,,738.1633473,710.4558513,752.1541241,1.411960994,0.21120588,2.464218551
3978,8789,-3.29,-7.5,445,8.68,7.66,2.4,15.99,667,666,665,8.26,8.24,8.51,5509.42,5487.84,5659.15,5552.14,2.7,298,,739.5886825,715.7266134,756.6426654,1.363119302,0.272948202,2.659188057
3982,8797,-4.02,-8,381,12.05,13.55,3.05,19.56,645,630,629,8.37,8.75,8.98,5398.65,5512.5,5648.42,5519.86,3.7,276,,734.3378526,726.9866065,748.6546551,1.859583618,1.184483943,2.7720215
4028,8886,-11.81,-12.3,145,19.73,18.83,5.89,34.47,612,610,609,9.13,2.18,9.25,5587.56,1329.8,5633.25,4183.54,2.1,274,,761.0305184,706.1590749,776.0278466,1.012306996,0.236359264,1.879853326
4029,8888,-11.1,-12.2,159,19.84,19.32,6.01,34.18,673,667,669,8.1,8.15,8.41,5451.3,5436.05,5626.29,5504.55,3.2,284,,741.3989504,705.7776934,753.2681987,1.059888051,0.201489267,2.075676942
1628,3678,-6.89,-9,172,13.25,12.08,13.1,14.56,635,631,632,8.69,8.79,8.89,5518.15,5546.49,5618.48,5561.04,0.7,296,,736.4991794,728.5704483,732.97384,0.795366811,0.795300294,0.979055955
1828,4121,-13.25,-17.5,161,46.12,44.71,47.37,46.29,649,648,645,8.49,8.61,8.7,5510.01,5579.28,5611.5,5566.93,0.8,111,,731.3417457,732.682579,735.6046954,2.732848925,2.713742691,2.908457337
2102,4732,12.16,-6.3,253,28.22,15.27,56.31,13.07,648,646,647,8.58,8.63,8.67,5559.84,5574.98,5609.49,5581.44,1,269,,741.2703525,657.2011152,682.8234375,1.972428184,6.531300997,1.442502613
2156,4868,-7.29,-13.7,109,81.11,86.49,86.15,70.69,654,648,649,8.42,8.42,8.64,5506.68,5456.16,5607.36,5523.4,3.2,272,,736.8890826,726.9920736,736.51748,3.439587928,3.398614511,3.36686205
2254,5100,-18.93,-18.2,112,47.3,37.63,48.93,55.33,670,666,663,7.18,6.37,8.45,4810.6,4242.42,5602.35,4885.12,0,273,,739.368755,732.2336604,737.1872125,2.0753682,1.648604648,1.77778251
3979,8790,-3.48,-8,441,9.08,7.84,2.35,17.06,641,639,643,8.52,8.54,8.71,5461.32,5457.06,5600.53,5506.3,2,285,,739.6088319,722.8368065,755.1498113,1.438232018,0.622173205,2.743794203
3990,8814,-4.25,-7.4,463,12.85,12.67,2.61,23.27,646,644,642,8.63,8.66,8.72,5574.98,5577.04,5598.24,5583.42,2.2,342,,740.5033243,741.2702863,756.0893983,2.096420897,1.208652684,3.869776395
4009,8851,-7.43,-8.7,217,14.2,13.36,2.51,26.74,668,664,666,8.24,8.18,8.39,5504.32,5431.52,5587.74,5507.86,2,321,,741.9015041,727.8867782,753.6519674,1.191259177,0.225224396,2.278361021
4026,8881,-13.77,-13.2,101,20.65,20.25,6.62,35.09,658,652,653,8.28,8.36,8.55,5448.24,5450.72,5583.15,5494.04,2,270,,727.6486442,679.0714546,745.1363325,0.751086167,0.509126635,1.377886414
4027,8885,-12.04,-12.4,142,19.56,18.65,5.88,34.14,643,640,641,8.48,8.46,8.7,5452.64,5414.4,5576.7,5481.25,1.6,274,,731.0261389,706.4169725,774.245217,1.041595856,0.359846346,1.752379535
4430,9728,-12.2,-16.8,252,25.42,25.71,24.33,26.24,647,645,643,8.49,8.46,8.67,5493.03,5456.7,5574.81,5508.18,0,265,,740.7976788,738.8893417,737.0348764,2.377309327,2.298084596,2.549726732
4431,9729,-11.56,-16.6,256,26.28,26.5,25.95,26.39,635,631,634,8.73,8.81,8.79,5543.55,5559.11,5572.86,5558.51,0,277,,736.6663247,735.8513309,736.7443258,2.505693376,2.497131238,2.665334201
508,1138,-18.16,-17.7,46,82.04,113.19,16.28,116.65,671,665,669,8.11,8.21,8.33,5441.81,5459.65,5572.77,5491.41,2.8,275,,730.1860093,723.8100803,734.2592299,1.844693925,1.457129833,2.091463922
929,2093,-13.95,-18.7,114,52.9,53.07,51.44,54.19,643,639,640,8.45,8.54,8.7,5433.35,5457.06,5568,5486.14,1.3,278,,737.9333741,736.4902555,734.2895571,2.226253564,2.170311289,2.32322616
1627,3676,-6.25,-8.7,179,12.91,11.27,12.4,15.06,643,638,640,8.49,8.52,8.7,5459.07,5435.76,5568,5487.61,0.6,283,,742.1919467,729.0289121,732.8639499,0.893766868,0.791595359,0.997176571
3750,8322,-11.02,-12,160,22.13,22.47,20.64,23.3,661,656,661,8.14,8.18,8.42,5380.54,5366.08,5565.62,5437.41,1.6,268,,747.0172451,738.2256317,738.864593,1.338129898,1.320532071,1.399013526
3980,8792,-3.58,-7.7,464,9.55,8.79,2.32,17.56,667,664,664,8.07,8.24,8.38,5382.69,5471.36,5564.32,5472.79,2.6,295,,740.0402326,728.5278688,757.8660836,1.548413394,0.351214992,3.145653919
4033,8899,-5.79,-9.9,329,16.68,15.59,4.24,30.22,630,627,630,8.43,8.55,8.83,5310.9,5360.85,5562.9,5411.55,3.7,284,,736.4081723,721.3074936,743.9426226,2.033612935,0.842946326,3.503063696
510,1147,-13.02,-16.5,111,70.48,69.21,68.27,73.98,660,656,658,8.11,8.17,8.45,5352.6,5359.52,5560.1,5424.07,3.7,280,,736.7175242,733.2681099,736.229439,2.953971062,2.737100731,2.994266761
596,1326,-21.68,-20.5,25,148.39,205.95,24.61,214.61,655,651,651,8.32,8.45,8.54,5449.6,5500.95,5559.54,5503.36,0,183,,733.9766412,723.5094565,733.8254858,1.841246765,1.337767892,2.005438006
852,1904,-12.54,-17,81,53.29,53.12,52.29,54.46,670,664,665,8.27,8.37,8.36,5540.9,5557.68,5559.4,5552.66,0,352,,729.5505554,731.2473173,731.3732976,1.62133442,1.880010641,1.61114735
928,2091,-16.2,-19.2,83,59.94,59.64,57.94,62.23,653,648,649,8.46,8.55,8.56,5524.38,5540.4,5555.44,5540.07,0.8,277,,734.7996368,734.5280289,733.8514343,1.784111984,1.810732945,1.895915799
2153,4864,-9.75,-14.7,114,53.92,57.84,55.51,48.41,669,663,669,7.87,8.13,8.3,5265.03,5390.19,5552.7,5402.64,1.9,283,,739.4857018,730.502673,732.4013482,2.409454879,2.09623141,2.394640061
3763,8352,-2.96,-7,420,25.9,26.13,25.26,26.32,645,641,642,8.34,8.39,8.64,5379.3,5377.99,5546.88,5434.72,3,264,,738.3985165,731.1288134,740.159479,4.223154396,4.185760661,4.246026099
3976,8786,-3.98,-7.6,452,6.77,6.09,2.05,12.18,670,668,666,8.15,8.26,8.32,5460.5,5517.68,5541.12,5506.43,1.2,287,,733.6423313,710.1908435,745.6935409,1.045949984,0.300522622,2.01006379
3983,8798,-4.33,-8.2,301,12.22,9.85,4.31,22.5,645,640,640,8.45,8.45,8.65,5450.25,5408,5536,5464.75,1,277,,740.5376579,710.3648967,750.6507135,1.447358623,0.323351662,2.30988298
3998,8831,-4.83,-7.7,437,12.08,11.86,2.47,21.92,617,611,617,8.72,8.84,8.97,5380.24,5401.24,5534.49,5438.66,1.9,296,,741.619574,739.7591236,756.2318609,1.925029828,0.584810115,3.768018052
4003,8840,-5.02,-7.9,295,13.55,11.22,3,26.43,641,641,639,8.36,8.4,8.66,5358.76,5384.4,5533.74,5425.63,1.8,275,,737.3304217,732.0665381,755.2665268,1.426535421,0.229447347,2.900605332
4011,8858,-7.89,-8.7,165,14.98,14.19,2.98,27.77,657,658,661,8.25,6.55,8.37,5420.25,4309.9,5532.57,5087.57,3.2,290,,730.6899545,729.3329986,753.9490036,0.904971265,0.154281917,1.730972627
2518,5717,-13.48,-17.5,75,61.63,61.4,60.46,63.03,631,627,630,8.5,8.58,8.78,5363.5,5379.66,5531.4,5424.85,2.4,283,,729.4655683,730.1047045,731.3097296,1.724099402,1.717294089,1.744822694
3749,8320,-11.75,-12.2,147,21.76,22.46,19.58,23.23,640,634,637,8.48,8.5,8.68,5427.2,5389,5529.16,5448.45,0.6,279,,734.7436525,733.8464263,733.6130764,1.192873441,1.124698362,1.270980214
3981,8794,-2.94,-8,325,13.22,15.03,3.14,21.5,676,669,668,7.52,7.89,8.27,5083.52,5278.41,5524.36,5295.43,3.4,312,,734.180027,725.8571252,747.523457,1.635052791,0.572234292,3.17799189
4001,8838,-3.89,-7.3,371,13.26,12.02,2.79,24.96,664,659,660,7.97,8.05,8.37,5292.08,5304.95,5524.2,5373.74,1.2,305,,737.7530193,731.4492536,754.0178642,1.756980246,0.369831711,3.358642072
4002,8839,-4.87,-7.9,273,15.1,13.25,3.24,28.8,644,640,640,8.48,8.49,8.63,5461.12,5433.6,5523.2,5472.64,2.7,297,,733.9650676,736.5324295,752.7420673,1.677223416,0.575098008,2.494723612
4032,8891,-9.52,-11.6,206,18.56,17.19,5.46,33.03,654,652,648,8.32,8.34,8.52,5441.28,5437.68,5520.96,5466.64,2.2,286,,738.0916961,709.9003726,755.5252412,1.357783341,0.73299939,2.494646891
850,1901,-16.6,-17.5,58,63.25,62.87,61.77,65.11,643,639,637,8.51,8.47,8.66,5471.93,5412.33,5516.42,5466.89,0.3,25,,736.9334999,734.5590851,733.3127363,1.29510363,1.267949808,1.37573007
854,1906,-14.14,-16.7,94,51.1,50.45,49.19,53.66,633,627,629,8.56,8.55,8.77,5418.48,5360.85,5516.33,5431.89,0,219,,732.4750006,731.7759248,732.1337972,1.775682977,1.637195318,1.810887136
1015,2276,-16.41,-17.5,50,77.39,96.64,35.78,99.75,667,666,666,8.11,8.23,8.28,5409.37,5481.18,5514.48,5468.34,1,276,,733.5313038,728.7388297,732.7688889,1.723776708,1.416502578,1.837586821
1611,3635,-8.37,-10.3,168,13.87,12.99,14.38,14.24,678,672,670,8.01,8.1,8.22,5430.78,5443.2,5507.4,5460.46,0.4,269,,740.6559449,731.6229876,735.7371373,0.844915727,0.885702889,0.898798068
1635,3693,-5.56,-8.9,132,15.36,18.15,15.35,12.58,628,623,625,8.9,8.71,8.81,5589.2,5426.33,5506.25,5507.26,1,84,,720.0863834,715.2140082,716.4228577,0.769620559,0.835490667,0.853402358
1641,3710,-7.54,-8.9,141,11.35,10.78,11.24,12.02,645,642,642,8.27,8.44,8.57,5334.15,5418.48,5501.94,5418.19,0.4,351,,721.6113423,717.1919676,719.7083672,0.613442514,0.67267481,0.628459074
1674,3774,-15.56,-17.4,129,35.06,14.61,75.47,15.09,663,647,658,8.55,8.85,8.36,5668.65,5725.95,5500.88,5631.83,1.2,327,,727.7131199,707.0173607,725.7450386,1.566339084,1.827573129,1.083585649
1675,3776,-14.73,-17,134,35.44,14.63,76.44,15.26,641,638,638,8.36,8.39,8.62,5358.76,5352.82,5499.56,5403.71,0.3,299,,728.810441,706.8013433,729.6039076,0.553190838,1.787609411,0.712987246
1746,3915,-12.29,-15.3,3,828.58,426.11,1495.34,564.29,632,633,632,8.56,8.55,8.7,5409.92,5412.15,5498.4,5440.16,0.1,101,,734.540418,727.2778493,727.7200654,0.641940373,0.93701798,0.792198782
1822,4107,-20.27,-19.8,49,40.93,40.72,38.78,43.28,641,633,640,8.4,8.39,8.59,5384.4,5310.87,5497.6,5397.62,0,84,,732.739116,725.7756574,733.1882886,0.64667881,0.917449158,0.775957034
3999,8833,-3.81,-7.7,421,12.61,11.93,2.51,23.4,641,639,639,8.3,8.39,8.6,5320.3,5361.21,5495.4,5392.3,0.4,278,,737.0483382,730.4428843,753.1927398,1.874692377,0.397290099,3.775916053
4010,8853,-7.68,-8.8,199,13.87,12.26,2.88,26.46,637,635,633,8.41,8.5,8.68,5357.17,5397.5,5494.44,5416.37,3.3,333,,739.3596428,730.5668434,753.4808049,0.96858448,0.167765306,1.780217752
4012,8859,-8.1,-8.8,154,15.32,14.84,3.07,28.05,629,624,625,8.79,8.84,8.79,5528.91,5516.16,5493.75,5512.94,2.7,262,,727.7777204,733.3668915,753.8139387,0.910354955,0.29837117,1.618278037
4432,9733,-10.14,-15.1,293,27.37,27.07,26.35,28.68,656,649,654,8.07,8.32,8.4,5293.92,5399.68,5493.6,5395.73,0,271,,734.1797066,730.2218939,735.4141979,2.980999827,2.906110628,3.152626691
